ticker,contract_type,strike_price,expiration_date,days_to_expiration,volume,open_interest,volume_oi_ratio,moneyness,last_trade_time,underlying_price,bid_size,ask_size,side
SPXW,call,6125,2025-05-30,1,2535,667,3.800599700149925,0,1748443785197220448,,1288,1247,BID
SPXW,put,5265,2025-05-30,1,1283,682,1.8812316715542523,0,1748375234512114576,,1232,51,BID
SPXW,put,5295,2025-05-30,1,765,603,1.2686567164179106,0,1748370508363083445,,367,398,ASK
SPXW,put,5755,2025-05-30,1,515,251,2.051792828685259,0,1748444896555173170,,187,328,ASK
SPXW,call,6250,2025-06-20,22,506,476,1.0630252100840336,0,1748442352550052932,,298,208,BID
SPXW,put,4975,2025-06-27,29,1239,1239,1.0,0,1748357132978684998,,607,632,ASK
